File,CEGAR,Cheetah,S52SAT,LCK,KSP,CEGAR_onedia
s4_45_n.0002.intohylo,0,0,0,-1,-1,0
s4_45_n.0004.intohylo,0,0,0,-1,-1,0
s4_45_n.0006.intohylo,0,0,0,-1,-1,0
s4_45_n.0008.intohylo,0,0,0,-1,-1,0
s4_45_n.0010.intohylo,0,0,0,-1,-1,0
s4_45_n.0012.intohylo,0,0,0,-1,-1,0
s4_45_n.0014.intohylo,0,0,0,-1,-1,0
s4_45_n.0016.intohylo,0,0,0,-1,-1,0
s4_45_n.0018.intohylo,0,0,0,-1,-1,0
s4_45_n.0020.intohylo,0,0,0,-1,-1,0
s4_45_n.0040.intohylo,0,0,0,-1,-1,0
s4_45_n.0060.intohylo,0,0,0,-1,-1,0
s4_45_n.0080.intohylo,0,0,0,-1,-1,0
s4_45_n.0100.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0120.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0140.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0160.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0180.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0200.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0220.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0240.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0260.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0280.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0300.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0320.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0340.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0360.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0380.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0400.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0420.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0440.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0460.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0480.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0500.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0520.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0540.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0560.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0580.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0600.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0620.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0640.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0660.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0680.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0700.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0720.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0740.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0760.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0780.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0800.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0820.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0840.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0860.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0880.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0900.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0920.intohylo,-1,-1,-1,-1,-1,-1
s4_45_n.0940.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0002.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0004.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0006.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0008.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0010.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0012.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0014.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0016.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0018.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0020.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0040.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0060.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0080.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0100.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0120.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0140.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0160.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0180.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0200.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0220.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0240.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0260.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0280.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0300.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0320.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0340.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0360.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0380.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0400.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0420.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0440.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0460.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0480.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0500.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0520.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0540.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0560.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0580.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0600.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0620.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0640.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0660.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0680.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0700.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0720.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0740.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0760.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0780.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0800.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0820.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0840.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0860.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0880.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0900.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0920.intohylo,-1,-1,-1,-1,-1,-1
s4_45_p.0940.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0001.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0002.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0003.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0004.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0005.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0006.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0007.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0008.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0009.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0010.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0011.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0012.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0013.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0014.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0015.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0016.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0017.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0018.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0019.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0020.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0021.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0022.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0023.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0024.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0025.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0026.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0027.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0028.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0029.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0030.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0032.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0034.intohylo,-1,-1,-1,-1,-1,-1
s4_branch_n.0036.intohylo,-1,-1,-1,-1,-1,-1
