File,Logic Domain,CEGAR,Cheetah,S52SAT
s4_45_n.0002.intohylo,s4,0.25,0.25,2
s4_45_n.0004.intohylo,s4,0.25,0.25,-1
s4_45_n.0006.intohylo,s4,0.25,0.25,-1
s4_45_n.0008.intohylo,s4,0.25,0.25,-1
s4_45_n.0010.intohylo,s4,0.25,0.25,-1
s4_45_n.0012.intohylo,s4,0.25,0.25,-1
s4_45_n.0014.intohylo,s4,0.25,0.25,-1
s4_45_n.0016.intohylo,s4,0.25,0.25,-1
s4_45_n.0018.intohylo,s4,0.25,0.25,-1
s4_45_n.0020.intohylo,s4,0.25,0.25,-1
s4_45_n.0040.intohylo,s4,0.5,0.25,-1
s4_45_n.0060.intohylo,s4,2,0.5,-1
s4_45_n.0080.intohylo,s4,8,1,-1
s4_45_n.0100.intohylo,s4,-1,2,-1
s4_45_n.0120.intohylo,s4,-1,4,-1
s4_45_n.0140.intohylo,s4,-1,4,-1
s4_45_n.0160.intohylo,s4,-1,8,-1
s4_45_n.0180.intohylo,s4,-1,-1,-1
s4_45_n.0200.intohylo,s4,-1,-1,-1
s4_45_n.0220.intohylo,s4,-1,-1,-1
s4_45_n.0240.intohylo,s4,-1,-1,-1
s4_45_n.0260.intohylo,s4,-1,-1,-1
s4_45_n.0280.intohylo,s4,-1,-1,-1
s4_45_n.0300.intohylo,s4,-1,-1,-1
s4_45_n.0320.intohylo,s4,-1,-1,-1
s4_45_n.0340.intohylo,s4,-1,-1,-1
s4_45_n.0360.intohylo,s4,-1,-1,-1
s4_45_n.0380.intohylo,s4,-1,-1,-1
s4_45_n.0400.intohylo,s4,-1,-1,-1
s4_45_n.0420.intohylo,s4,-1,-1,-1
s4_45_n.0440.intohylo,s4,-1,-1,-1
s4_45_n.0460.intohylo,s4,-1,-1,-1
s4_45_n.0480.intohylo,s4,-1,-1,-1
s4_45_n.0500.intohylo,s4,-1,-1,-1
s4_45_n.0520.intohylo,s4,-1,-1,-1
s4_45_n.0540.intohylo,s4,-1,-1,-1
s4_45_n.0560.intohylo,s4,-1,-1,-1
s4_45_n.0580.intohylo,s4,-1,-1,-1
s4_45_n.0600.intohylo,s4,-1,-1,-1
s4_45_n.0620.intohylo,s4,-1,-1,-1
s4_45_n.0640.intohylo,s4,-1,-1,-1
s4_45_n.0660.intohylo,s4,-1,-1,-1
s4_45_n.0680.intohylo,s4,-1,-1,-1
s4_45_n.0700.intohylo,s4,-1,-1,-1
s4_45_n.0720.intohylo,s4,-1,-1,-1
s4_45_n.0740.intohylo,s4,-1,-1,-1
s4_45_n.0760.intohylo,s4,-1,-1,-1
s4_45_n.0780.intohylo,s4,-1,-1,-1
s4_45_n.0800.intohylo,s4,-1,-1,-1
s4_45_n.0820.intohylo,s4,-1,-1,-1
s4_45_n.0840.intohylo,s4,-1,-1,-1
s4_45_n.0860.intohylo,s4,-1,-1,-1
s4_45_n.0880.intohylo,s4,-1,-1,-1
s4_45_n.0900.intohylo,s4,-1,-1,-1
s4_45_n.0920.intohylo,s4,-1,-1,-1
s4_45_n.0940.intohylo,s4,-1,-1,-1
s4_45_p.0002.intohylo,s4,0.25,0.25,2
s4_45_p.0004.intohylo,s4,0.25,0.25,8
s4_45_p.0006.intohylo,s4,0.25,0.25,-1
s4_45_p.0008.intohylo,s4,0.25,0.25,-1
s4_45_p.0010.intohylo,s4,0.25,0.25,-1
s4_45_p.0012.intohylo,s4,0.25,0.25,-1
s4_45_p.0014.intohylo,s4,0.25,0.25,-1
s4_45_p.0016.intohylo,s4,0.25,0.25,-1
s4_45_p.0018.intohylo,s4,0.25,0.25,-1
s4_45_p.0020.intohylo,s4,0.25,0.25,-1
s4_45_p.0040.intohylo,s4,0.25,0.25,-1
s4_45_p.0060.intohylo,s4,0.25,0.25,-1
s4_45_p.0080.intohylo,s4,0.5,0.5,-1
s4_45_p.0100.intohylo,s4,1,1,-1
s4_45_p.0120.intohylo,s4,1,4,-1
s4_45_p.0140.intohylo,s4,2,4,-1
s4_45_p.0160.intohylo,s4,4,8,-1
s4_45_p.0180.intohylo,s4,8,8,-1
s4_45_p.0200.intohylo,s4,8,-1,-1
s4_45_p.0220.intohylo,s4,8,-1,-1
s4_45_p.0240.intohylo,s4,8,-1,-1
s4_45_p.0260.intohylo,s4,-1,-1,-1
s4_45_p.0280.intohylo,s4,-1,-1,-1
s4_45_p.0300.intohylo,s4,-1,-1,-1
s4_45_p.0320.intohylo,s4,-1,-1,-1
s4_45_p.0340.intohylo,s4,-1,-1,-1
s4_45_p.0360.intohylo,s4,-1,-1,-1
s4_45_p.0380.intohylo,s4,-1,-1,-1
s4_45_p.0400.intohylo,s4,-1,-1,-1
s4_45_p.0420.intohylo,s4,-1,-1,-1
s4_45_p.0440.intohylo,s4,-1,-1,-1
s4_45_p.0460.intohylo,s4,-1,-1,-1
s4_45_p.0480.intohylo,s4,-1,-1,-1
s4_45_p.0500.intohylo,s4,-1,-1,-1
s4_45_p.0520.intohylo,s4,-1,-1,-1
s4_45_p.0540.intohylo,s4,-1,-1,-1
s4_45_p.0560.intohylo,s4,-1,-1,-1
s4_45_p.0580.intohylo,s4,-1,-1,-1
s4_45_p.0600.intohylo,s4,-1,-1,-1
s4_45_p.0620.intohylo,s4,-1,-1,-1
s4_45_p.0640.intohylo,s4,-1,-1,-1
s4_45_p.0660.intohylo,s4,-1,-1,-1
s4_45_p.0680.intohylo,s4,-1,-1,-1
s4_45_p.0700.intohylo,s4,-1,-1,-1
s4_45_p.0720.intohylo,s4,-1,-1,-1
s4_45_p.0740.intohylo,s4,-1,-1,-1
s4_45_p.0760.intohylo,s4,-1,-1,-1
s4_45_p.0780.intohylo,s4,-1,-1,-1
s4_45_p.0800.intohylo,s4,-1,-1,-1
s4_45_p.0820.intohylo,s4,-1,-1,-1
s4_45_p.0840.intohylo,s4,-1,-1,-1
s4_45_p.0860.intohylo,s4,-1,-1,-1
s4_45_p.0880.intohylo,s4,-1,-1,-1
s4_45_p.0900.intohylo,s4,-1,-1,-1
s4_45_p.0920.intohylo,s4,-1,-1,-1
s4_45_p.0940.intohylo,s4,-1,-1,-1
s4_branch_n.0001.intohylo,s4,-1,-1,0.25
s4_branch_n.0002.intohylo,s4,-1,-1,-1
s4_branch_n.0003.intohylo,s4,-1,-1,-1
s4_branch_n.0004.intohylo,s4,-1,-1,-1
s4_branch_n.0005.intohylo,s4,-1,-1,-1
s4_branch_n.0006.intohylo,s4,-1,-1,-1
s4_branch_n.0007.intohylo,s4,-1,-1,-1
s4_branch_n.0008.intohylo,s4,-1,-1,-1
s4_branch_n.0009.intohylo,s4,-1,-1,-1
s4_branch_n.0010.intohylo,s4,-1,-1,-1
s4_branch_n.0011.intohylo,s4,-1,-1,-1
s4_branch_n.0012.intohylo,s4,-1,-1,-1
s4_branch_n.0013.intohylo,s4,-1,-1,-1
s4_branch_n.0014.intohylo,s4,-1,-1,-1
s4_branch_n.0015.intohylo,s4,-1,-1,-1
s4_branch_n.0016.intohylo,s4,-1,-1,-1
s4_branch_n.0017.intohylo,s4,-1,-1,-1
s4_branch_n.0018.intohylo,s4,-1,-1,-1
s4_branch_n.0019.intohylo,s4,-1,-1,-1
s4_branch_n.0020.intohylo,s4,-1,-1,-1
s4_branch_n.0021.intohylo,s4,-1,-1,-1
s4_branch_n.0022.intohylo,s4,-1,-1,-1
s4_branch_n.0023.intohylo,s4,-1,-1,-1
s4_branch_n.0024.intohylo,s4,-1,-1,-1
s4_branch_n.0025.intohylo,s4,-1,-1,-1
s4_branch_n.0026.intohylo,s4,-1,-1,-1
s4_branch_n.0027.intohylo,s4,-1,-1,-1
s4_branch_n.0028.intohylo,s4,-1,-1,-1
s4_branch_n.0029.intohylo,s4,-1,-1,-1
s4_branch_n.0030.intohylo,s4,-1,-1,-1
s4_branch_n.0032.intohylo,s4,-1,-1,0.25
s4_branch_n.0034.intohylo,s4,-1,-1,-1
s4_branch_n.0036.intohylo,s4,-1,-1,-1
s4_branch_n.0038.intohylo,s4,-1,-1,-1
s4_branch_n.0040.intohylo,s4,-1,-1,-1
s4_branch_n.0042.intohylo,s4,-1,-1,-1
s4_branch_n.0044.intohylo,s4,-1,-1,-1
s4_branch_n.0046.intohylo,s4,-1,-1,-1
s4_branch_n.0048.intohylo,s4,-1,-1,-1
s4_branch_n.0050.intohylo,s4,-1,-1,-1
s4_branch_n.0052.intohylo,s4,-1,-1,-1
s4_branch_n.0054.intohylo,s4,-1,-1,-1
s4_branch_n.0056.intohylo,s4,-1,-1,-1
s4_branch_n.0058.intohylo,s4,-1,-1,-1
s4_branch_n.0060.intohylo,s4,-1,-1,-1
s4_branch_n.0062.intohylo,s4,-1,-1,-1
s4_branch_n.0064.intohylo,s4,-1,-1,-1
s4_branch_n.0066.intohylo,s4,-1,-1,-1
s4_branch_n.0068.intohylo,s4,-1,-1,-1
